"WorkItemId","Author","Date","CommentHtml"
"2702871","Almar Matira","2026-06-03T01:03:47.757Z","<div>05/11/2026: Script Complete. </div>"
"2702890","Almar Matira","2026-06-03T01:38:54.053Z","<div>05/14/2026: Done.&nbsp;</div>"
"2737378","Almar Matira","2026-08-17T10:41:07.99Z","<div>Updated scenario to 1 user every 2 secs, then set multiplier to x9 to achieve ~300 concurrent users.</div>"
"2737394","Almar Matira","2026-08-31T12:39:28.96Z","<div>working on a new script: Clear Timesheet - this will clear the entered timesheets which will give the users another round of entry.</div>"
"2745581","Lotte Morales","2026-08-18T01:27:41.947Z","<div><span>We currently have 2 urgent priorities this week, which I have listed and discussed with the team:<br></span><div>1. Error investigation for the SQL2025 server upgrade<br></div><span>2. Increased response times investigation from the SQL2019 collated results</span><br></div>"
"2745582","Lotte Morales","2026-08-20T07:22:01.467Z","<div>Rescripted 011 for Bug Validation; Script 046 To Do</div>"
"2745582","Lotte Morales","2026-08-24T08:51:01.653Z","To Do For Rescripting:<br><div>Bug Validation: Scripts 11 and 46<br>Increased Response Time Investigation: Script 17</div>"
"2745978","Lotte Morales","2026-08-19T04:07:50.097Z","<div>Still in progress of 2026.3 Execution in upgraded server SQL2025</div>"
"2745978","Lotte Morales","2026-08-24T08:46:17.043Z","<div>August 1 Run - Cleanest run; Finalization of Build 26.3 Results; Increased Response Time Investigation = still in progress;<br><br>August 11-13 Runs - SQL server upgraded to 2025; Checking script errors caused by the upgrade;<br><br>Bug Validation and Rerun = 3 are good to close but still waiting for team's confirmation; 1 to do for rescripting</div>"
"2745978","Lotte Morales","2026-08-24T09:07:19.21Z","<div>Related -&gt; Bugs Added</div>"
"2745978","Lotte Morales","2026-09-08T06:05:52.707Z","<div>Marking this now as Done. 5 Bugs identified in this build.&nbsp;</div>"
"2748596","Lotte Morales","2026-09-01T02:01:31.263Z","<div>Started Standard 26.4 Runs today</div>"
"2748629","Joseph Estrella","2026-08-03T23:50:49Z","<div>08/04 - Test scripting for 7 test cases in 8.11 SQL DB is already completed.</div>"
"2748631","Joseph Estrella","2026-08-04T00:02:22.057Z","<div>08/04 - Details already been provided. Test scripting not yet started.</div>"
"2748631","Joseph Estrella","2026-09-09T01:08:38.303Z","<div>09/08 - Test scripting is in progress with 30% completion. There is an issue in the application encountered. Bug 2866010 and 2865958 were logged.</div>"
"2748631","Joseph Estrella","2026-09-15T00:09:34.24Z","<div>09/15 - Test scripting is completed.</div>"
"2748633","Joseph Estrella","2026-08-04T00:06:30.423Z","<div>08/04 - Details already provided. Test scripting not yet started.</div>"
"2748633","Joseph Estrella","2026-09-09T01:11:10.207Z","<div>09/08 - Test scripting is already completed.</div>"
"2748634","Joseph Estrella","2026-08-03T23:43:30.963Z","<div>08/04 - Test scripting for 8.11 is already completed.</div>"
"2748635","Joseph Estrella","2026-07-08T14:24:37.463Z","<div>Test scripts for 3 Test Cases were already completed in the Deltek VM.</div>"
"2748635","Joseph Estrella","2026-07-08T14:25:50.067Z","<div>Created Test scripts need to be validated in the new AWS VM if those LR scripts are still working with AWS VM.</div>"
"2748635","Joseph Estrella","2026-08-03T23:37:59.307Z","<div>08/04 - Test scripts for the 3 workflows are already completed and updated for the 20 Tenants test.</div>"
"2748636","Joseph Estrella","2026-08-04T01:33:22.843Z","<div>08/04 - Test scripting is in progress.</div>"
"2748637","Joseph Estrella","2026-08-04T01:34:10.16Z","<div>08/04 - Test scripting is already completed.</div>"
"2748638","Joseph Estrella","2026-08-04T01:20:13.277Z","<div>08/04 - Test scripting is in progress. Provided a highlevel performance test timeline to Dana for review.</div>"
"2748638","Joseph Estrella","2026-09-09T00:55:41.81Z","<div>09/08 - Test scripting is in progress with 44% completion. Though, we are still in development phase thus the progress completion may change from time to time.</div>"
"2748638","Joseph Estrella","2026-09-15T00:24:59.183Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">09/15 - Test scripting is still in progress with 44% completion. As per discussion with Kavya, I will start to KT Enoch until end of this month.&nbsp;</span><br></div>"
"2748642","Joseph Estrella","2026-09-09T00:52:10.183Z","<div>09/08 - Test scripting is already completed. However, there is another scenario requested which requires new script.</div>"
"2748642","Joseph Estrella","2026-09-15T00:26:29.643Z","<div>09/15 - Test scripting is set to In Progress again due to the new test case requested by Cobra team.&nbsp;</div>"
"2748655","Joseph Estrella","2026-08-03T23:58:26.317Z","<div>08/04 - Test execution for the 7 test cases will start this week.</div>"
"2748655","Joseph Estrella","2026-09-15T00:04:42.903Z","<div>09/08 - Test execution is completed.</div>"
"2748655","Joseph Estrella","2026-09-15T00:05:02.283Z","<div>09/15 - Test Result analysis is in progress.</div>"
"2748658","Joseph Estrella","2026-08-03T23:56:04.08Z","<div>08/04 - Test Execution is schedule to run this week.</div>"
"2748658","Joseph Estrella","2026-09-15T00:08:16.023Z","<div>09/08 - Execution is completed.</div>"
"2748658","Joseph Estrella","2026-09-15T00:08:34.71Z","<div>09/15 - Test result analysis is in progress.</div>"
"2748661","Joseph Estrella","2026-08-04T00:07:34.173Z","<div>08/04 - Test execution will start once the test scripts are ready.</div>"
"2748661","Joseph Estrella","2026-09-09T01:13:13.64Z","<div>09/08 - Test execution is in progress.</div>"
"2748661","Joseph Estrella","2026-09-15T00:03:52.277Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">09/15 - Test execution is completed. Test Result analysis is in progress.</span><br></div>"
"2748663","Joseph Estrella","2026-08-04T00:04:43.683Z","<div>08/04 - Will start once the test scripts becomes available.</div>"
"2748663","Joseph Estrella","2026-09-15T00:11:05.447Z","<div>09/15 - Test execution is in progress. Encountered an error during test execution. Bug 2875259 was logged in TFS.</div>"
"2748667","Joseph Estrella","2026-09-09T00:53:04.83Z","<div>09/08 - Test Result is already shared to the stakeholder for review. However, there is another scenario requested by the Cobra Team.</div>"
"2748667","Joseph Estrella","2026-09-15T00:28:11.41Z","<div>09/15 - Test execution is in progress was still waiting for the feedback from the stakeholder and also for pending for the new test case script to be executed once done.</div>"
"2748668","Joseph Estrella","2026-08-04T01:34:58.267Z","<div>08/04 - Test execution is already completed. Load Test Results were already shared to stakeholder for review.</div>"
"2748672","Joseph Estrella","2026-07-08T14:27:21.283Z","<div>Test Execution for 160users with 4 Tenants is scheduled to run daily.</div>"
"2748672","Joseph Estrella","2026-08-03T23:41:32.277Z","<div>08/04 - LR Scenario set up for 20 Tenants with 800 users is in progress.</div>"
"2748672","Joseph Estrella","2026-09-09T00:40:54.5Z","<div>09/08 - Daily Test run is done since it is already in production.</div>"
